count_objects,PP1-MATH-1.1.2_Pirate_Cove_Number_Finder,Count 2 pirate ships sailing the sea!,pirate_count3.webp,audio_p9.mp3,1,2,1,3,,⛵,2,,,,,,,
speak_repeat,PP1-MATH-1.1.2_Pirate_Cove_Number_Finder,Say out loud clearly: FIVE GOLD COINS!,speak_p1.webp,audio_p10.mp3,1,Five Gold Coins,,,,,,Five Gold Coins,,,,,,,
speak_repeat,PP1-MATH-1.1.2_Pirate_Cove_Number_Finder,Say out loud clearly: PIRATE TREASURE NUMBER FOUR!,speak_p2.webp,audio_p11.mp3,1,Pirate Treasure Number Four,,,,,,Pirate Treasure Number Four,,,,,,,
matching,PP1-MATH-1.1.2_Pirate_Cove_Number_Finder,Match pirate objects to count!,,,1,,,,,,,,Map 🗺️,1,Coin 🪙,2,Ship ⛵,3
matching,PP1-MATH-1.1.2_Pirate_Cove_Number_Finder,Match numbers on pirate flags!,,,1,,,,,,,,4,4,5,5,2,2
multiple_choice,PP1-MATH-1.1.3_Space_Station_Countdown_6_to_10,What number comes after 5 in space?,space_q1.webp,audio_s1.mp3,1,6,2,10,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.3_Space_Station_Countdown_6_to_10,What number comes right before 10 for blastoff?,space_q2.webp,audio_s2.mp3,1,9,6,7,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.3_Space_Station_Countdown_6_to_10,Count the space rockets: 6 7... what is next?,space_q3.webp,audio_s3.mp3,1,8,10,5,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.3_Space_Station_Countdown_6_to_10,Which number is bigger: 6 or 9?,space_q4.webp,audio_s4.mp3,1,9,6,1,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.3_Space_Station_Countdown_6_to_10,What number comes after 7?,space_q5.webp,audio_s5.mp3,1,8,6,10,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.3_Space_Station_Countdown_6_to_10,Find the space number 10!,space_q6.webp,audio_s6.mp3,1,10,7,8,,,1,,,,,,,
count_objects,PP1-MATH-1.1.3_Space_Station_Countdown_6_to_10,Count 6 glowing rockets on the launchpad!,space_count1.webp,audio_s7.mp3,1,6,5,8,,🚀,6,,,,,,,
count_objects,PP1-MATH-1.1.3_Space_Station_Countdown_6_to_10,Count 8 bright stars in space!,space_count2.webp,audio_s8.mp3,1,8,6,10,,⭐,8,,,,,,,
count_objects,PP1-MATH-1.1.3_Space_Station_Countdown_6_to_10,Count 7 space helmets for astronauts!,space_count3.webp,audio_s9.mp3,1,7,6,9,,🪖,7,,,,,,,
speak_repeat,PP1-MATH-1.1.3_Space_Station_Countdown_6_to_10,Say out loud clearly: COUNTDOWN TEN TO BLASTOFF!,speak_s1.webp,audio_s10.mp3,1,Countdown Ten To Blastoff,,,,,,Countdown Ten To Blastoff,,,,,,,
speak_repeat,PP1-MATH-1.1.3_Space_Station_Countdown_6_to_10,Say out loud clearly: EIGHT SHINY STARS!,speak_s2.webp,audio_s11.mp3,1,Eight Shiny Stars,,,,,,Eight Shiny Stars,,,,,,,
matching,PP1-MATH-1.1.3_Space_Station_Countdown_6_to_10,Match space items to count!,,,1,,,,,,,,Rocket 🚀,6,Star ⭐,7,Moon 🌙,8
matching,PP1-MATH-1.1.3_Space_Station_Countdown_6_to_10,Match space countdown numbers!,,,1,,,,,,,,8,8,9,9,10,10
multiple_choice,PP1-MATH-1.1.4_Circus_Carnival_Numbers_11_to_15,What number comes after 10 at the circus?,circus_q1.webp,audio_c1.mp3,1,11,15,8,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.4_Circus_Carnival_Numbers_11_to_15,What number comes after 12?,circus_q2.webp,audio_c2.mp3,1,13,11,14,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.4_Circus_Carnival_Numbers_11_to_15,Which number is bigger: 11 or 15?,circus_q3.webp,audio_c3.mp3,1,15,11,10,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.4_Circus_Carnival_Numbers_11_to_15,What number comes right before 15?,circus_q4.webp,audio_c4.mp3,1,14,12,11,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.4_Circus_Carnival_Numbers_11_to_15,Count clown shoes: 11 12 13... what is next?,circus_q5.webp,audio_c5.mp3,1,14,15,10,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.4_Circus_Carnival_Numbers_11_to_15,Find circus number 12!,circus_q6.webp,audio_c6.mp3,1,12,14,15,,,1,,,,,,,
count_objects,PP1-MATH-1.1.4_Circus_Carnival_Numbers_11_to_15,Count 11 bright circus balloons!,circus_count1.webp,audio_c7.mp3,1,11,10,13,,🎈,11,,,,,,,
count_objects,PP1-MATH-1.1.4_Circus_Carnival_Numbers_11_to_15,Count 13 juggling balls in the air!,circus_count2.webp,audio_c8.mp3,1,13,11,14,,🤹,13,,,,,,,
count_objects,PP1-MATH-1.1.4_Circus_Carnival_Numbers_11_to_15,Count 12 circus clown hats!,circus_count3.webp,audio_c9.mp3,1,12,11,15,,🎪,12,,,,,,,
speak_repeat,PP1-MATH-1.1.4_Circus_Carnival_Numbers_11_to_15,Say out loud clearly: ELEVEN BALLOONS AT THE CIRCUS!,speak_c1.webp,audio_c10.mp3,1,Eleven Balloons At The Circus,,,,,,Eleven Balloons At The Circus,,,,,,,
speak_repeat,PP1-MATH-1.1.4_Circus_Carnival_Numbers_11_to_15,Say out loud clearly: FIFTEEN JUGGLING BALLS!,speak_c2.webp,audio_c11.mp3,1,Fifteen Juggling Balls,,,,,,Fifteen Juggling Balls,,,,,,,
matching,PP1-MATH-1.1.4_Circus_Carnival_Numbers_11_to_15,Match circus numbers!,,,1,,,,,,,,11,11,12,12,13,13
matching,PP1-MATH-1.1.4_Circus_Carnival_Numbers_11_to_15,Match carnival circus numbers!,,,1,,,,,,,,13,13,14,14,15,15
multiple_choice,PP1-MATH-1.1.5_Underwater_Reef_Numbers_16_to_20,What number comes after 15 underwater?,reef_q1.webp,audio_r1.mp3,1,16,18,20,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.5_Underwater_Reef_Numbers_16_to_20,What number comes right after 19?,reef_q2.webp,audio_r2.mp3,1,20,16,17,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.5_Underwater_Reef_Numbers_16_to_20,Which number is smaller: 16 or 20?,reef_q3.webp,audio_r3.mp3,1,16,20,19,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.5_Underwater_Reef_Numbers_16_to_20,Count sea shells: 16 17... what comes next?,reef_q4.webp,audio_r4.mp3,1,18,20,15,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.5_Underwater_Reef_Numbers_16_to_20,What number comes right before 20?,reef_q5.webp,audio_r5.mp3,1,19,17,16,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.5_Underwater_Reef_Numbers_16_to_20,Find ocean reef number 17!,reef_q6.webp,audio_r6.mp3,1,17,19,16,,,1,,,,,,,
count_objects,PP1-MATH-1.1.5_Underwater_Reef_Numbers_16_to_20,Count 16 colorful reef fish!,reef_count1.webp,audio_r7.mp3,1,16,15,18,,🐟,16,,,,,,,
count_objects,PP1-MATH-1.1.5_Underwater_Reef_Numbers_16_to_20,Count 20 sea bubbles underwater!,reef_count2.webp,audio_r8.mp3,1,20,18,19,,🫧,20,,,,,,,
count_objects,PP1-MATH-1.1.5_Underwater_Reef_Numbers_16_to_20,Count 17 sea starfish on the reef!,reef_count3.webp,audio_r9.mp3,1,17,16,19,,⭐,17,,,,,,,
speak_repeat,PP1-MATH-1.1.5_Underwater_Reef_Numbers_16_to_20,Say out loud clearly: SIXTEEN SWIMMING FISH!,speak_r1.webp,audio_r10.mp3,1,Sixteen Swimming Fish,,,,,,Sixteen Swimming Fish,,,,,,,
speak_repeat,PP1-MATH-1.1.5_Underwater_Reef_Numbers_16_to_20,Say out loud clearly: TWENTY OCEAN BUBBLES!,speak_r2.webp,audio_r11.mp3,1,Twenty Ocean Bubbles,,,,,,Twenty Ocean Bubbles,,,,,,,
matching,PP1-MATH-1.1.5_Underwater_Reef_Numbers_16_to_20,Match ocean reef numbers!,,,1,,,,,,,,16,16,17,17,18,18
matching,PP1-MATH-1.1.5_Underwater_Reef_Numbers_16_to_20,Match big ocean numbers!,,,1,,,,,,,,18,18,19,19,20,20
multiple_choice,PP1-MATH-1.1.6_Zero_Hero_Empty_Nest_Concept,Which number stands for empty or nothing?,zero_q1.webp,audio_z1.mp3,1,0,1,5,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.6_Zero_Hero_Empty_Nest_Concept,How many birds are in an empty nest?,zero_q2.webp,audio_z2.mp3,1,0,3,2,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.6_Zero_Hero_Empty_Nest_Concept,If you eat all 3 apples how many are left?,zero_q3.webp,audio_z3.mp3,1,0,1,3,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.6_Zero_Hero_Empty_Nest_Concept,Zero Hero means having how many items?,zero_q4.webp,audio_z4.mp3,1,NONE,MANY,SOME,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.6_Zero_Hero_Empty_Nest_Concept,Which basket is empty?,zero_q5.webp,audio_z5.mp3,1,0,4,2,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.6_Zero_Hero_Empty_Nest_Concept,What number comes before 1?,zero_q6.webp,audio_z6.mp3,1,0,2,3,,,1,,,,,,,
count_objects,PP1-MATH-1.1.6_Zero_Hero_Empty_Nest_Concept,Count 0 eggs in the empty nest!,zero_count1.webp,audio_z7.mp3,1,0,1,2,,🪹,0,,,,,,,
count_objects,PP1-MATH-1.1.6_Zero_Hero_Empty_Nest_Concept,Count 3 birds sitting in the nest!,zero_count2.webp,audio_z8.mp3,1,3,0,4,,🐦,3,,,,,,,
count_objects,PP1-MATH-1.1.6_Zero_Hero_Empty_Nest_Concept,Count 0 apples on the empty tree branch!,zero_count3.webp,audio_z9.mp3,1,0,2,1,,🌿,0,,,,,,,
speak_repeat,PP1-MATH-1.1.6_Zero_Hero_Empty_Nest_Concept,Say out loud clearly: ZERO MEANS NOTHING AT ALL!,speak_z1.webp,audio_z10.mp3,1,Zero Means Nothing At All,,,,,,Zero Means Nothing At All,,,,,,,
speak_repeat,PP1-MATH-1.1.6_Zero_Hero_Empty_Nest_Concept,Say out loud clearly: ZERO HERO EMPTY NEST!,speak_z2.webp,audio_z11.mp3,1,Zero Hero Empty Nest,,,,,,Zero Hero Empty Nest,,,,,,,
matching,PP1-MATH-1.1.6_Zero_Hero_Empty_Nest_Concept,Match numbers to concept!,,,1,,,,,,,,0,NONE,1,ONE,3,THREE
matching,PP1-MATH-1.1.6_Zero_Hero_Empty_Nest_Concept,Match zero hero symbols!,,,1,,,,,,,,0,0,🪹,EMPTY,NONE,0
multiple_choice,PP1-MATH-1.1.7_Before_After_Number_Line_0_to_20,On the number line what comes right after 7?,line_q1.webp,audio_l1.mp3,1,8,6,10,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.7_Before_After_Number_Line_0_to_20,What number comes right before 10?,line_q2.webp,audio_l2.mp3,1,9,11,8,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.7_Before_After_Number_Line_0_to_20,What number comes after 14?,line_q3.webp,audio_l3.mp3,1,15,13,12,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.7_Before_After_Number_Line_0_to_20,What number comes right before 20?,line_q4.webp,audio_l4.mp3,1,19,18,17,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.7_Before_After_Number_Line_0_to_20,What number is between 3 and 5?,line_q5.webp,audio_l5.mp3,1,4,2,6,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.7_Before_After_Number_Line_0_to_20,What number is between 11 and 13?,line_q6.webp,audio_l6.mp3,1,12,10,14,,,1,,,,,,,
count_objects,PP1-MATH-1.1.7_Before_After_Number_Line_0_to_20,Count 6 steps along the number line!,line_count1.webp,audio_l7.mp3,1,6,5,7,,🐾,6,,,,,,,
count_objects,PP1-MATH-1.1.7_Before_After_Number_Line_0_to_20,Count 10 markers on the track!,line_count2.webp,audio_l8.mp3,1,10,9,11,,🚩,10,,,,,,,
count_objects,PP1-MATH-1.1.7_Before_After_Number_Line_0_to_20,Count 4 hops forward on the line!,line_count3.webp,audio_l9.mp3,1,4,3,5,,🐸,4,,,,,,,
speak_repeat,PP1-MATH-1.1.7_Before_After_Number_Line_0_to_20,Say out loud clearly: EIGHT COMES AFTER SEVEN!,speak_l1.webp,audio_l10.mp3,1,Eight Comes After Seven,,,,,,Eight Comes After Seven,,,,,,,
speak_repeat,PP1-MATH-1.1.7_Before_After_Number_Line_0_to_20,Say out loud clearly: NINE COMES BEFORE TEN!,speak_l2.webp,audio_l11.mp3,1,Nine Comes Before Ten,,,,,,Nine Comes Before Ten,,,,,,,
matching,PP1-MATH-1.1.7_Before_After_Number_Line_0_to_20,Match before and after numbers!,,,1,,,,,,,,Before 5,4,After 5,6,After 9,10
matching,PP1-MATH-1.1.7_Before_After_Number_Line_0_to_20,Match number line neighbors!,,,1,,,,,,,,11,12,14,15,18,19
multiple_choice,PP1-MATH-1.1.8_More_Less_Equal_Quantity_Showdown,5 apples and 2 apples: Which group has MORE?,cmp_q1.webp,audio_m1.mp3,1,MORE,LESS,EQUAL,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.8_More_Less_Equal_Quantity_Showdown,1 banana and 4 bananas: Which group has LESS?,cmp_q2.webp,audio_m2.mp3,1,LESS,MORE,EQUAL,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.8_More_Less_Equal_Quantity_Showdown,3 frogs and 3 frogs: The groups are...?,cmp_q3.webp,audio_m3.mp3,1,EQUAL,MORE,LESS,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.8_More_Less_Equal_Quantity_Showdown,Which is MORE: 8 or 3?,cmp_q4.webp,audio_m4.mp3,1,8,3,EQUAL,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.8_More_Less_Equal_Quantity_Showdown,Which is LESS: 2 or 7?,cmp_q5.webp,audio_m5.mp3,1,2,7,EQUAL,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.8_More_Less_Equal_Quantity_Showdown,4 stars and 4 stars are...?,cmp_q6.webp,audio_m6.mp3,1,EQUAL,MORE,LESS,,,1,,,,,,,
count_objects,PP1-MATH-1.1.8_More_Less_Equal_Quantity_Showdown,Count 5 apples in the big group!,cmp_count1.webp,audio_m7.mp3,1,5,3,2,,🍎,5,,,,,,,
count_objects,PP1-MATH-1.1.8_More_Less_Equal_Quantity_Showdown,Count 2 apples in the small group!,cmp_count2.webp,audio_m8.mp3,1,2,5,4,,🍎,2,,,,,,,
count_objects,PP1-MATH-1.1.8_More_Less_Equal_Quantity_Showdown,Count 4 star stickers showing equal sets!,cmp_count3.webp,audio_m9.mp3,1,4,2,6,,⭐,4,,,,,,,
speak_repeat,PP1-MATH-1.1.8_More_Less_Equal_Quantity_Showdown,Say out loud clearly: FIVE IS MORE THAN TWO!,speak_m1.webp,audio_m10.mp3,1,Five Is More Than Two,,,,,,Five Is More Than Two,,,,,,,
speak_repeat,PP1-MATH-1.1.8_More_Less_Equal_Quantity_Showdown,Say out loud clearly: THREE AND THREE ARE EQUAL!,speak_m2.webp,audio_m11.mp3,1,Three And Three Are Equal,,,,,,Three And Three Are Equal,,,,,,,
matching,PP1-MATH-1.1.8_More_Less_Equal_Quantity_Showdown,Match quantity terms!,,,1,,,,,,,,5 vs 2,MORE,1 vs 4,LESS,3 vs 3,EQUAL
matching,PP1-MATH-1.1.8_More_Less_Equal_Quantity_Showdown,Match group comparisons!,,,1,,,,,,,,10,MORE,2,LESS,5,EQUAL
multiple_choice,PP1-MATH-1.1.9_Skip_Counting_by_2s_Safari,Skip count by 2s: 2 4... what comes next?,skip_q1.webp,audio_sk1.mp3,1,6,5,3,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.9_Skip_Counting_by_2s_Safari,Skip count by 2s: 2 4 6... what comes next?,skip_q2.webp,audio_sk2.mp3,1,8,7,9,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.9_Skip_Counting_by_2s_Safari,Skip count by 2s: 2 4 6 8... what comes next?,skip_q3.webp,audio_sk3.mp3,1,10,9,11,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.9_Skip_Counting_by_2s_Safari,What is the first number when skip counting by 2s?,skip_q4.webp,audio_sk4.mp3,1,2,1,0,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.9_Skip_Counting_by_2s_Safari,When we skip count by 2s we add how many each time?,skip_q5.webp,audio_sk5.mp3,1,2,1,5,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.9_Skip_Counting_by_2s_Safari,Which number is in the 2s count: 2 4 6...?,skip_q6.webp,audio_sk6.mp3,1,8,3,5,,,1,,,,,,,
count_objects,PP1-MATH-1.1.9_Skip_Counting_by_2s_Safari,Count 4 safari zebras in pairs of 2!,skip_count1.webp,audio_sk7.mp3,1,4,2,6,,🦓,4,,,,,,,
count_objects,PP1-MATH-1.1.9_Skip_Counting_by_2s_Safari,Count 6 safari lions in pairs of 2!,skip_count2.webp,audio_sk8.mp3,1,6,4,8,,🦁,6,,,,,,,
count_objects,PP1-MATH-1.1.9_Skip_Counting_by_2s_Safari,Count 8 safari elephants in pairs of 2!,skip_count3.webp,audio_sk9.mp3,1,8,6,10,,🐘,8,,,,,,,
speak_repeat,PP1-MATH-1.1.9_Skip_Counting_by_2s_Safari,Say out loud clearly: TWO FOUR SIX EIGHT TEN!,speak_sk1.webp,audio_sk10.mp3,1,Two Four Six Eight Ten,,,,,,Two Four Six Eight Ten,,,,,,,
speak_repeat,PP1-MATH-1.1.9_Skip_Counting_by_2s_Safari,Say out loud clearly: SKIP COUNTING BY TWOS!,speak_sk2.webp,audio_sk11.mp3,1,Skip Counting By Twos,,,,,,Skip Counting By Twos,,,,,,,
matching,PP1-MATH-1.1.9_Skip_Counting_by_2s_Safari,Match skip counting steps!,,,1,,,,,,,,2,4,6,8,8,10
matching,PP1-MATH-1.1.9_Skip_Counting_by_2s_Safari,Match 2s pattern numbers!,,,1,,,,,,,,2,2,6,6,10,10
multiple_choice,PP1-MATH-1.1.10_Numbers_0_to_20_Grand_Master,What number comes after 19?,gm_q1.webp,audio_g1.mp3,1,20,18,15,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.10_Numbers_0_to_20_Grand_Master,Which number means empty set?,gm_q2.webp,audio_g2.mp3,1,0,10,20,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.10_Numbers_0_to_20_Grand_Master,What number comes between 14 and 16?,gm_q3.webp,audio_g3.mp3,1,15,13,17,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.10_Numbers_0_to_20_Grand_Master,Which number is the biggest: 5 12 or 18?,gm_q4.webp,audio_g4.mp3,1,18,12,5,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.10_Numbers_0_to_20_Grand_Master,Count by 2s: 2 4 6 8... what is next?,gm_q5.webp,audio_g5.mp3,1,10,9,12,,,1,,,,,,,
multiple_choice,PP1-MATH-1.1.10_Numbers_0_to_20_Grand_Master,What number comes right before 1?,gm_q6.webp,audio_g6.mp3,1,0,2,3,,,1,,,,,,,
count_objects,PP1-MATH-1.1.10_Numbers_0_to_20_Grand_Master,Count 15 grand master stars!,gm_count1.webp,audio_g7.mp3,1,15,12,18,,⭐,15,,,,,,,
count_objects,PP1-MATH-1.1.10_Numbers_0_to_20_Grand_Master,Count 20 golden master trophies!,gm_count2.webp,audio_g8.mp3,1,20,15,19,,🏆,20,,,,,,,
count_objects,PP1-MATH-1.1.10_Numbers_0_to_20_Grand_Master,Count 10 winner badges!,gm_count3.webp,audio_g9.mp3,1,10,8,12,,🥇,10,,,,,,,
speak_repeat,PP1-MATH-1.1.10_Numbers_0_to_20_Grand_Master,Say out loud clearly: I AM A NUMBER GRAND MASTER!,speak_g1.webp,audio_g10.mp3,1,I Am A Number Grand Master,,,,,,I Am A Number Grand Master,,,,,,,
speak_repeat,PP1-MATH-1.1.10_Numbers_0_to_20_Grand_Master,Say out loud clearly: I CAN COUNT FROM ZERO TO TWENTY!,speak_g2.webp,audio_g11.mp3,1,I Can Count From Zero To Twenty,,,,,,I Can Count From Zero To Twenty,,,,,,,
matching,PP1-MATH-1.1.10_Numbers_0_to_20_Grand_Master,Match grand master numbers!,,,1,,,,,,,,5,5,15,15,20,20
matching,PP1-MATH-1.1.10_Numbers_0_to_20_Grand_Master,Match count symbols!,,,1,,,,,,,,0,0,10,10,20,20
multiple_choice,PP1-MATH-2.1.11_Addition_Adding_1_More_Safari,You have 3 lions and get 1 more lion. How many now?,add1_q1.webp,audio_a1.mp3,1,4,3,5,,,1,,,,,,,
multiple_choice,PP1-MATH-2.1.11_Addition_Adding_1_More_Safari,What is 5 plus 1 more?,add1_q2.webp,audio_a2.mp3,1,6,5,7,,,1,,,,,,,
multiple_choice,PP1-MATH-2.1.11_Addition_Adding_1_More_Safari,You have 2 zebras and 1 more joins. How many total?,add1_q3.webp,audio_a3.mp3,1,3,2,4,,,1,,,,,,,
multiple_choice,PP1-MATH-2.1.11_Addition_Adding_1_More_Safari,What is 4 plus 1 more?,add1_q4.webp,audio_a4.mp3,1,5,4,6,,,1,,,,,,,
multiple_choice,PP1-MATH-2.1.11_Addition_Adding_1_More_Safari,You have 1 monkey and get 1 more. How many now?,add1_q5.webp,audio_a5.mp3,1,2,1,3,,,1,,,,,,,
multiple_choice,PP1-MATH-2.1.11_Addition_Adding_1_More_Safari,What is 6 plus 1 more?,add1_q6.webp,audio_a6.mp3,1,7,6,8,,,1,,,,,,,
count_objects,PP1-MATH-2.1.11_Addition_Adding_1_More_Safari,Count 4 lions total after adding 1 more!,add1_count1.webp,audio_a7.mp3,1,4,3,5,,🦁,4,,,,,,,
count_objects,PP1-MATH-2.1.11_Addition_Adding_1_More_Safari,Count 6 safari trees total after adding 1 more!,add1_count2.webp,audio_a8.mp3,1,6,5,7,,🌴,6,,,,,,,
count_objects,PP1-MATH-2.1.11_Addition_Adding_1_More_Safari,Count 3 giraffes total after adding 1 more!,add1_count3.webp,audio_a9.mp3,1,3,2,4,,🦒,3,,,,,,,
speak_repeat,PP1-MATH-2.1.11_Addition_Adding_1_More_Safari,Say out loud clearly: THREE PLUS ONE EQUALS FOUR!,speak_a1.webp,audio_a10.mp3,1,Three Plus One Equals Four,,,,,,Three Plus One Equals Four,,,,,,,
speak_repeat,PP1-MATH-2.1.11_Addition_Adding_1_More_Safari,Say out loud clearly: ADDING ONE MORE MAKES IT BIGGER!,speak_a2.webp,audio_a11.mp3,1,Adding One More Makes It Bigger,,,,,,Adding One More Makes It Bigger,,,,,,,
matching,PP1-MATH-2.1.11_Addition_Adding_1_More_Safari,Match addition 1 more equations!,,,1,,,,,,,,3+1,4,5+1,6,2+1,3
matching,PP1-MATH-2.1.11_Addition_Adding_1_More_Safari,Match sum results!,,,1,,,,,,,,4+1,5,1+1,2,6+1,7
multiple_choice,PP1-MATH-2.1.12_Addition_Adding_2_More_Dino_Eggs,You have 2 dino eggs and find 2 more. How many now?,add2_q1.webp,audio_ae1.mp3,1,4,2,6,,,1,,,,,,,
multiple_choice,PP1-MATH-2.1.12_Addition_Adding_2_More_Dino_Eggs,What is 4 plus 2 more?,add2_q2.webp,audio_ae2.mp3,1,6,4,5,,,1,,,,,,,
